"sub_id","AgeGroup","ToD_Condition","Date","absavg_recall_blockOverall","absavg_recall_block1","absavg_recall_block2","absavg_recall_block3","minavg_recall_blockOverall","minavg_recall_block1","minavg_recall_block2","minavg_recall_block3"
"Sub031_ToD_Online","YA","Morning","27/10/24",86.5957446808511,83.2,81.6875,94.6875,-23.4042553191489,6.4,-3.6875,-71.0625
"Sub032_ToD_Online","YA","Morning","27/10/24",73.8285714285714,61.2,78.0769230769231,79.75,-3.6,13.8,-1.15384615384615,-20.75
"Sub033_ToD_Online","YA","Morning","27/10/24",59.304347826087,79.3846153846154,51.6470588235294,51.125,3.47826086956522,9.53846153846154,-9.64705882352941,12.5
"Sub034_ToD_Online","YA","Morning","27/10/24",19.0344827586207,25.1052631578947,21.4210526315789,11,-3.06896551724138,-3,-4.68421052631579,-1.6
"Sub035_ToD_Online","YA","Morning","27/10/24",31.8846153846154,21.7647058823529,39.6470588235294,34.1111111111111,-8.80769230769231,-3.76470588235294,-17.7647058823529,-5.11111111111111
"Sub036_ToD_Online","YA","Morning","27/10/24",60.3,68,58,54.8333333333333,10.95,1.23076923076923,7.6,25.6666666666667
"Sub037_ToD_Online","YA","Morning","28/10/24",30.5869565217391,20.0666666666667,36.625,34.6666666666667,2.28260869565217,14.3333333333333,9.75,-17.7333333333333
"Sub038_ToD_Online","YA","Morning","28/10/24",7.52631578947368,7.64705882352941,9.55,5.4,3.59649122807018,3.05882352941176,5.45,2.2
"Sub039_ToD_Online","YA","Morning","28/10/24",74.0222222222222,47.8125,104.785714285714,73.2666666666667,0.333333333333333,5.3125,19.2142857142857,-22.6
"Sub040_ToD_Online","OA","Morning","25/10/24",87,77.625,114.777777777778,78.6666666666667,-6.51351351351351,-3.375,-29.4444444444444,6.5
"Sub041_ToD_Online","OA","Morning","25/10/24",52.5,77.4545454545455,36.1875,51.2727272727273,-9.13157894736842,5.27272727272727,5.4375,-44.7272727272727
