"sub_id","AgeGroup","ToD_Condition","Date","absavg_recall_blockOverall","absavg_recall_block1","absavg_recall_block2","absavg_recall_block3","minavg_recall_blockOverall","minavg_recall_block1","minavg_recall_block2","minavg_recall_block3","absavg_learning_blockOverall","absavg_learning_block1","absavg_learning_block2","absavg_learning_block3","minavg_learning_blockOverall","minavg_learning_block1","minavg_learning_block2","minavg_learning_block3","CorrectRecallOld_block1","CorrectRecallOld_block2","CorrectRecallOld_block3","CorrectRecallOld_blockOverall","ForgetRecallOld_block1","ForgetRecallOld_block2","ForgetRecallOld_block3","ForgetRecallOld_blockOverall","CorrectRecallNew_block1","CorrectRecallNew_block2","CorrectRecallNew_block3","CorrectRecallNew_blockOverall","NewRecallOld_block1","NewRecallOld_block2","NewRecallOld_block3","NewRecallOld_blockOverall"
"Sub034_ToD_Online","YA","Morning","27/10/24",19.0344827586207,25.1052631578947,21.4210526315789,11,-3.06896551724138,-3,-4.68421052631579,-1.6,6.32758620689655,5.10526315789474,7.78947368421053,6.1,2.46551724137931,2.26315789473684,3.78947368421053,1.4,19,19,20,58,1,1,0,2,8,9,7,24,0,0,0,0
"Sub035_ToD_Online","YA","Morning","27/10/24",31.8846153846154,21.7647058823529,39.6470588235294,34.1111111111111,-8.80769230769231,-3.76470588235294,-17.7647058823529,-5.11111111111111,10.8653846153846,11.0588235294118,12.6470588235294,9,0.826923076923077,-2.82352941176471,0.294117647058824,4.77777777777778,17,17,18,52,3,3,2,8,7,8,8,23,0,0,0,0
"Sub036_ToD_Online","YA","Morning","27/10/24",60.3,68,58,54.8333333333333,10.95,1.23076923076923,7.6,25.6666666666667,8.75,8.76923076923077,7.66666666666667,10.0833333333333,-0.8,-3.07692307692308,1.4,-1.08333333333333,13,15,12,40,7,5,8,20,5,9,7,21,1,0,0,1
"Sub037_ToD_Online","YA","Morning","28/10/24",30.5869565217391,20.0666666666667,36.625,34.6666666666667,2.28260869565217,14.3333333333333,9.75,-17.7333333333333,11.3478260869565,14.3333333333333,8.6875,11.2,-1.69565217391304,-2.06666666666667,-3.5625,0.666666666666667,15,16,15,46,5,4,5,14,8,8,8,24,0,0,0,0
"Sub038_ToD_Online","YA","Morning","28/10/24",7.52631578947368,7.64705882352941,9.55,5.4,3.59649122807018,3.05882352941176,5.45,2.2,5.63157894736842,5.76470588235294,7.1,4.05,0.964912280701754,-2.11764705882353,2.2,2.35,17,20,20,57,3,0,0,3,8,8,8,24,0,0,0,0
"Sub039_ToD_Online","YA","Morning","28/10/24",74.0222222222222,47.8125,104.785714285714,73.2666666666667,0.333333333333333,5.3125,19.2142857142857,-22.6,9.84444444444444,10.375,9,10.0666666666667,0.111111111111111,2.25,-3.85714285714286,1.53333333333333,16,14,15,45,4,6,5,15,8,9,7,24,0,0,0,0
"Sub040_ToD_Online","OA","Morning","25/10/24",87,77.625,114.777777777778,78.6666666666667,-6.51351351351351,-3.375,-29.4444444444444,6.5,27.4324324324324,32.9375,11.2222222222222,32.25,-2.08108108108108,1.5625,-4.33333333333333,-5.25,16,9,12,37,4,11,8,23,8,7,5,20,0,1,3,4
"Sub041_ToD_Online","OA","Morning","25/10/24",52.5,77.4545454545455,36.1875,51.2727272727273,-9.13157894736842,5.27272727272727,5.4375,-44.7272727272727,10.6578947368421,13.5454545454545,11.75,6.18181818181818,3.13157894736842,7.36363636363636,3.375,-1.45454545454545,11,16,11,38,9,4,9,22,8,8,6,22,0,1,1,2
"Sub042_ToD_Online","OA","Morning","25/10/24",20.4230769230769,24.4,12.5263157894737,25.4444444444444,-0.115384615384615,-3.2,2.73684210526316,-0.555555555555556,7.76923076923077,8,9.1578947368421,6.11111111111111,0.730769230769231,0.666666666666667,-0.947368421052632,2.55555555555556,15,19,18,52,5,1,2,8,8,8,8,24,0,0,0,0
"Sub043_ToD_Online","OA","Morning","25/10/24",20.2241379310345,16.6315789473684,17.9473684210526,25.8,-2.91379310344828,1.57894736842105,-1.31578947368421,-8.7,4.96551724137931,7.52631578947368,3.89473684210526,3.55,0.0689655172413793,0.894736842105263,0.210526315789474,-0.85,19,19,20,58,1,1,0,2,8,9,7,24,0,0,0,0
