"sub_id","AgeGroup","ToD_Condition","collected_by","block","absavg_recall","minavg_recall","outlier_Recall_Age"
"Sub040_ToD","OA","Night","Julia","2",45.5294117647059,7.41176470588235,FALSE
"Sub040_ToD","OA","Night","Julia","3",35.75,3.875,FALSE
"Sub041_ToD","YA","Morning","Julia","Overall",44.5641025641026,15.3846153846154,FALSE
"Sub041_ToD","YA","Morning","Julia","1",40.5,1.35714285714286,FALSE
"Sub041_ToD","YA","Morning","Julia","2",40.8461538461538,34.0769230769231,FALSE
"Sub041_ToD","YA","Morning","Julia","3",53.3333333333333,11.5,FALSE
"Sub042_ToD","YA","Morning","Julia","Overall",29,2.40540540540541,FALSE
"Sub042_ToD","YA","Morning","Julia","1",36.4166666666667,-6.75,FALSE
"Sub042_ToD","YA","Morning","Julia","2",36.9166666666667,9.08333333333333,FALSE
"Sub042_ToD","YA","Morning","Julia","3",14.8461538461538,4.69230769230769,FALSE
"Sub043_ToD","OA","Night","Julia","Overall",50.5476190476191,-7.97619047619048,FALSE
"Sub043_ToD","OA","Night","Julia","1",66.4166666666667,10.4166666666667,FALSE
"Sub043_ToD","OA","Night","Julia","2",23.6428571428571,-11.6428571428571,FALSE
"Sub043_ToD","OA","Night","Julia","3",62.1875,-18.5625,FALSE
"Sub044_ToD","YA","Night","Julia","Overall",42.2777777777778,-2.72222222222222,FALSE
"Sub044_ToD","YA","Night","Julia","1",49.1578947368421,-10.5263157894737,FALSE
"Sub044_ToD","YA","Night","Julia","2",29.5,6.83333333333333,FALSE
"Sub044_ToD","YA","Night","Julia","3",48.1176470588235,-4.11764705882353,FALSE
"Sub045_ToD","OA","Night","Julia","Overall",52.6923076923077,12.6153846153846,FALSE
"Sub045_ToD","OA","Night","Julia","1",64.2222222222222,32.2222222222222,FALSE
"Sub045_ToD","OA","Night","Julia","2",28.25,12.375,FALSE
"Sub045_ToD","OA","Night","Julia","3",62.8888888888889,-6.77777777777778,FALSE
"Sub046_ToD","OA","Morning","Julia","Overall",9.33333333333333,-2.21052631578947,FALSE
"Sub046_ToD","OA","Morning","Julia","1",8.58823529411765,0,FALSE
"Sub046_ToD","OA","Morning","Julia","2",9.6,-2.7,FALSE
"Sub046_ToD","OA","Morning","Julia","3",9.7,-3.6,FALSE
"Sub047_ToD","YA","Morning","Julia","Overall",51.525,-8.225,FALSE
"Sub047_ToD","YA","Morning","Julia","1",49.4705882352941,0.647058823529412,FALSE
"Sub047_ToD","YA","Morning","Julia","2",72.6666666666667,-11.7777777777778,FALSE
"Sub047_ToD","YA","Morning","Julia","3",40.4285714285714,-16.7142857142857,FALSE
"Sub048_ToD","YA","Night","Julia","Overall",31.8541666666667,-0.6875,FALSE
"Sub048_ToD","YA","Night","Julia","1",34.2666666666667,5.86666666666667,FALSE
"Sub048_ToD","YA","Night","Julia","2",43.5,-9.75,FALSE
"Sub048_ToD","YA","Night","Julia","3",18.7647058823529,2.05882352941176,FALSE
"Sub049_ToD","OA","Night","Julia","Overall",65.9761904761905,-7.35714285714286,FALSE
"Sub049_ToD","OA","Night","Julia","1",52.2727272727273,-23.9090909090909,FALSE
"Sub049_ToD","OA","Night","Julia","2",73.625,0.5,FALSE
"Sub049_ToD","OA","Night","Julia","3",67.8666666666667,-3.6,FALSE
"Sub050_ToD","YA","Morning","Julia","Overall",28.4259259259259,-14.462962962963,FALSE
"Sub050_ToD","YA","Morning","Julia","1",27.4210526315789,-11,FALSE
"Sub050_ToD","YA","Morning","Julia","2",23.8235294117647,-4.52941176470588,FALSE
"Sub050_ToD","YA","Morning","Julia","3",33.8333333333333,-27.5,FALSE
"Sub051_ToD","YA","Night","Julia","Overall",54.0952380952381,-1.42857142857143,FALSE
"Sub051_ToD","YA","Night","Julia","1",49.9230769230769,25.9230769230769,FALSE
"Sub051_ToD","YA","Night","Julia","2",61.0714285714286,-9.21428571428571,FALSE
"Sub051_ToD","YA","Night","Julia","3",51.2,-17.8666666666667,FALSE
"Sub052_ToD","YA","Morning","Julia","Overall",71.1860465116279,11.046511627907,FALSE
"Sub052_ToD","YA","Morning","Julia","1",49.6153846153846,13.3076923076923,FALSE
"Sub052_ToD","YA","Morning","Julia","2",73,24.7142857142857,FALSE
"Sub052_ToD","YA","Morning","Julia","3",87.125,-2.75,FALSE
"Sub053_ToD","YA","Night","Julia","Overall",68.52,12.56,FALSE
"Sub053_ToD","YA","Night","Julia","1",59.4,39.8,FALSE
"Sub053_ToD","YA","Night","Julia","2",76.1578947368421,2.68421052631579,FALSE
"Sub053_ToD","YA","Night","Julia","3",68,-1.25,FALSE
"Sub054_ToD","OA","Morning","Julia","Overall",48.4186046511628,-11.5348837209302,FALSE
"Sub054_ToD","OA","Morning","Julia","1",47.8,-12.6,FALSE
"Sub054_ToD","OA","Morning","Julia","2",39.6470588235294,-10.5882352941176,FALSE
"Sub054_ToD","OA","Morning","Julia","3",58.125,-11.875,FALSE
"Sub055_ToD","OA","Morning","Julia","Overall",73.4237288135593,9.35593220338983,FALSE
"Sub055_ToD","OA","Morning","Julia","1",62.45,0.85,FALSE
"Sub055_ToD","OA","Morning","Julia","2",79.25,4.55,FALSE
"Sub055_ToD","OA","Morning","Julia","3",78.8421052631579,23.3684210526316,FALSE
"Sub056_ToD","OA","Morning","Julia","Overall",14.2542372881356,-1.44067796610169,FALSE
"Sub056_ToD","OA","Morning","Julia","1",12.6315789473684,2.63157894736842,FALSE
"Sub056_ToD","OA","Morning","Julia","2",19.2,-8.8,FALSE
"Sub056_ToD","OA","Morning","Julia","3",10.85,2.05,FALSE
"Sub057_ToD","OA","Morning","Julia","Overall",44.4333333333333,12.3,FALSE
"Sub057_ToD","OA","Morning","Julia","1",23,6.81818181818182,FALSE
"Sub057_ToD","OA","Morning","Julia","2",78.7,45.7,FALSE
"Sub057_ToD","OA","Morning","Julia","3",32.5555555555556,-18.1111111111111,FALSE
"Sub058_ToD","OA","Morning","Julia","Overall",25.7307692307692,-4.88461538461539,FALSE
"Sub058_ToD","OA","Morning","Julia","1",26.7058823529412,-5.76470588235294,FALSE
"Sub058_ToD","OA","Morning","Julia","2",14.2777777777778,-0.166666666666667,FALSE
"Sub058_ToD","OA","Morning","Julia","3",36.8823529411765,-9,FALSE
"Sub059_ToD","YA","Night","Julia","Overall",30,10.5964912280702,FALSE
"Sub059_ToD","YA","Night","Julia","1",26.6111111111111,2.27777777777778,FALSE
"Sub059_ToD","YA","Night","Julia","2",30.45,24.85,FALSE
"Sub059_ToD","YA","Night","Julia","3",32.7368421052632,3.47368421052632,FALSE
"Sub060_ToD","OA","Morning","Julia","Overall",55.5151515151515,-1.33333333333333,FALSE
"Sub060_ToD","OA","Morning","Julia","1",64.3333333333333,-8.73333333333333,FALSE
"Sub060_ToD","OA","Morning","Julia","2",41.7,-10.7,FALSE
"Sub060_ToD","OA","Morning","Julia","3",56.25,24.25,FALSE
"Sub061_ToD","YA","Morning","Julia","Overall",23.5,-1.32758620689655,FALSE
"Sub061_ToD","YA","Morning","Julia","1",40.1111111111111,0.888888888888889,FALSE
"Sub061_ToD","YA","Morning","Julia","2",17.7,-2.5,FALSE
"Sub061_ToD","YA","Morning","Julia","3",14.35,-2.15,FALSE
"Sub062_ToD","OA","Night","Julia","Overall",31.4791666666667,9.85416666666667,FALSE
"Sub062_ToD","OA","Night","Julia","1",53.2666666666667,14.2,FALSE
"Sub062_ToD","OA","Night","Julia","2",22.3529411764706,18,FALSE
"Sub062_ToD","OA","Night","Julia","3",20.75,-2.875,FALSE
