"sub_id","AgeGroup","ToD_Condition","collected_by","block","absavg_learning","minavg_learning","outlier_Learning_Age"
"Sub065_ToD","YA","Morning","Julia","3",67.1538461538462,-31.1538461538462,TRUE
"Sub066_ToD","YA","Night","Julia","Overall",9.2,0.971428571428571,FALSE
"Sub066_ToD","YA","Night","Julia","1",10.5714285714286,-2.71428571428571,FALSE
"Sub066_ToD","YA","Night","Julia","2",7.18181818181818,0.272727272727273,FALSE
"Sub066_ToD","YA","Night","Julia","3",9.5,6.9,FALSE
"Sub067_ToD","OA","Night","Julia","Overall",7.75,0.403846153846154,FALSE
"Sub067_ToD","OA","Night","Julia","1",6.46666666666667,0.466666666666667,FALSE
"Sub067_ToD","OA","Night","Julia","2",6.88888888888889,-1.77777777777778,FALSE
"Sub067_ToD","OA","Night","Julia","3",9.57894736842105,2.42105263157895,FALSE
"Sub068_ToD","YA","Morning","Julia","Overall",3.53191489361702,1.70212765957447,FALSE
"Sub068_ToD","YA","Morning","Julia","1",3.8125,2.3125,FALSE
"Sub068_ToD","YA","Morning","Julia","2",2.94736842105263,1.47368421052632,FALSE
"Sub068_ToD","YA","Morning","Julia","3",4.08333333333333,1.25,FALSE
"Sub069_ToD","OA","Night","Julia","Overall",9.19607843137255,-2.33333333333333,FALSE
"Sub069_ToD","OA","Night","Julia","1",9.625,-2.875,FALSE
"Sub069_ToD","OA","Night","Julia","2",7.11764705882353,-0.882352941176471,FALSE
"Sub069_ToD","OA","Night","Julia","3",10.7777777777778,-3.22222222222222,FALSE
"Sub070_ToD","YA","Morning","Julia","Overall",4.37037037037037,-0.925925925925926,FALSE
"Sub070_ToD","YA","Morning","Julia","1",4,-0.555555555555556,FALSE
"Sub070_ToD","YA","Morning","Julia","2",4.26315789473684,-0.157894736842105,FALSE
"Sub070_ToD","YA","Morning","Julia","3",4.88235294117647,-2.17647058823529,FALSE
"Sub071_ToD","YA","Night","Julia","Overall",10.2363636363636,2.81818181818182,FALSE
"Sub071_ToD","YA","Night","Julia","1",8.94736842105263,-0.842105263157895,FALSE
"Sub071_ToD","YA","Night","Julia","2",16.2222222222222,10.3333333333333,FALSE
"Sub071_ToD","YA","Night","Julia","3",5.61111111111111,-0.833333333333333,FALSE
"Sub072_ToD","OA","Morning","Julia","Overall",5.38461538461539,0.423076923076923,FALSE
"Sub072_ToD","OA","Morning","Julia","1",5.85714285714286,2.57142857142857,FALSE
"Sub072_ToD","OA","Morning","Julia","2",4.5,0.6,FALSE
"Sub072_ToD","OA","Morning","Julia","3",6,-1.44444444444444,FALSE
"Sub073_ToD","OA","Night","Julia","Overall",9.28571428571429,1.57142857142857,FALSE
"Sub073_ToD","OA","Night","Julia","1",11.625,-4.375,FALSE
"Sub073_ToD","OA","Night","Julia","2",7.5,0.5,FALSE
"Sub073_ToD","OA","Night","Julia","3",7.90909090909091,6.09090909090909,FALSE
"Sub074_ToD","OA","Morning","Julia","Overall",5.91666666666667,1,FALSE
"Sub074_ToD","OA","Morning","Julia","1",6.42857142857143,4.71428571428571,FALSE
"Sub074_ToD","OA","Morning","Julia","2",5.22222222222222,-4.33333333333333,FALSE
"Sub074_ToD","OA","Morning","Julia","3",6.25,3.75,FALSE
"Sub075_ToD","OA","Night","Julia","Overall",5.7037037037037,0.518518518518518,FALSE
"Sub075_ToD","OA","Night","Julia","1",7.23529411764706,-1.23529411764706,FALSE
"Sub075_ToD","OA","Night","Julia","2",5.5,-0.0555555555555556,FALSE
