"sub_id","AgeGroup","ToD_Condition","collected_by","outlier_Learning_Age","absavg_learning_blockOverall","absavg_learning_block1","absavg_learning_block2","absavg_learning_block3","minavg_learning_blockOverall","minavg_learning_block1","minavg_learning_block2","minavg_learning_block3"
"Sub132_ToD","YA","Night","Maheria",FALSE,5.81818181818182,5.25,6.85714285714286,5.42857142857143,-2.27272727272727,-1.25,-2.14285714285714,-3.57142857142857
"Sub133_ToD","OA","Morning","Maheria",FALSE,8.69230769230769,7.5,9.8125,8.75,-2.07692307692308,-2.75,3.6875,-6.15
"Sub134_ToD","OA","Night","Maheria",TRUE,81.7962962962963,101.176470588235,72.6666666666667,73.1052631578947,-17.0555555555556,-29.1764705882353,-0.888888888888889,-21.5263157894737
"Sub135_ToD","YA","Night","Maheria",FALSE,8.91111111111111,10.4615384615385,8.5,8.0625,-0.333333333333333,-3.69230769230769,0.75,1.3125
"Sub136_ToD","YA","Night","Maheria",FALSE,5.01724137931035,4.75,5.27777777777778,5.05,-0.879310344827586,0.55,-1.83333333333333,-1.45
"Sub137_ToD","OA","Morning","Maheria",FALSE,6.12962962962963,8.63157894736842,4.66666666666667,4.88235294117647,-1.01851851851852,-2.84210526315789,0.111111111111111,-0.176470588235294
"Sub138_ToD","OA","Morning","Maheria",FALSE,7.81818181818182,6,7.26315789473684,10,-1.92727272727273,1.17647058823529,-3.68421052631579,-2.94736842105263
"Sub139_ToD","YA","Morning","Maheria",FALSE,6.36,5.65,6.72222222222222,7,-0.32,-0.65,0.388888888888889,-0.833333333333333
"Sub140_ToD","OA","Morning","Maheria",FALSE,7.30909090909091,6.11111111111111,6.94444444444444,8.78947368421053,1.23636363636364,0.333333333333333,1.61111111111111,1.73684210526316
"Sub141_ToD","OA","Night","Maheria",FALSE,8.04081632653061,6.8125,8.5,8.76470588235294,-2.57142857142857,-1.8125,-4.25,-1.70588235294118
"Sub142_ToD","OA","Night","Maheria",FALSE,3.91525423728814,4.3,4.52631578947368,2.95,-0.220338983050847,1.4,-0.526315789473684,-1.55
"Sub143_ToD","OA","Night","Maheria",FALSE,5.73584905660377,7.52631578947368,5.17647058823529,4.29411764705882,-2.11320754716981,-2.47368421052632,-1.76470588235294,-2.05882352941176
"Sub144_ToD","OA","Night","Maheria",FALSE,9.14035087719298,10.1111111111111,6.35,11.1578947368421,1.24561403508772,-5.11111111111111,3.75,4.63157894736842
"Sub145_ToD","YA","Morning","Maheria",FALSE,4.3265306122449,4.05555555555556,6.14285714285714,3.11764705882353,-0.653061224489796,-0.611111111111111,-2.42857142857143,0.764705882352941
"Sub146_ToD","YA","Night","Maheria",FALSE,6.08771929824561,4.26315789473684,3.85,10.5,-3.31578947368421,-1.21052631578947,-1.35,-7.72222222222222
"Sub147_ToD","YA","Night","Maheria",FALSE,5.5,7.16666666666667,4.55555555555556,5.28571428571429,0.590909090909091,-0.5,1,1
"Sub148_ToD","YA","Night","Maheria",TRUE,93.1132075471698,94.2941176470588,89.6875,94.85,2.66037735849057,15.8235294117647,-19.5625,9.25
"Sub149_ToD","OA","Night","Maheria",FALSE,16.8409090909091,13.125,18.0769230769231,19.7333333333333,2.20454545454545,-6.875,5.30769230769231,9.2
"Sub150_ToD","YA","Morning","Maheria",FALSE,7.30909090909091,6.66666666666667,8,7.3,0.0363636363636364,-1.66666666666667,1.29411764705882,0.5
"Sub151_ToD","YA","Morning","Maheria",FALSE,10.9183673469388,13,12.9411764705882,6.26666666666667,-3.93877551020408,-7.82352941176471,-3.17647058823529,-0.4
"Sub152_ToD","YA","Morning","Maheria",FALSE,5.73333333333333,3.625,8.25,8,-1.6,-0.625,-8.25,4.66666666666667
