"SubjectID","AgeGroup","ToD_Condition","Imm_Delay","obj1","locresp1","locresp1_adj","respposX1","respposY1","Learning_Loc_Test_rt","condnum","respposX2","respposY2","backgr","obj1loc","TrialID","StudyTrialNum","block","testObj1","testObj1Feat1","TestPracTrialNum","testObj1Feat1TargetVal","testObj1LocStartVal1","testObj1LocStartVal2","testObj1LocStartVal3","testObj1LocTargetVal","testObj1Target","OldImages","locresp2","locresp2_adj","Recall_Loc_Test_rt","Old_New_Test","Old_New_Test_rt","Remember_Test","Remember_Test_rt","collected_by"
"Sub002_ToD","OA","Night",1,"hammer1_tr.png",139,139,NA,NA,0.0346,141,NA,NA,"Bckg138.jpg",237,118,17,1,1,1,6,237,139,321,245,237,"hammer1_tr.png",1,321,321,2.554900001,1,2.5389,2,1.3661,NA
"Sub002_ToD","OA","Night",1,"handbag1_tr.png",275,275,NA,NA,0.040099999,141,NA,NA,"Bckg97.jpg",66,94,64,2,1,1,72,66,275,244,269,66,"handbag1_tr.png",1,244,244,2.594599999,1,3.786099999,2,1.304200001,NA
"Sub002_ToD","OA","Night",1,"handsoap1_tr.png",352,352,NA,NA,3.8024,141,NA,NA,"Bckg73.jpg",74,57,35,1,1,1,23,74,352,41,5,74,"handsoap1_tr.png",1,41,41,5.1028,1,2.5157,1,1.3138,NA
"Sub002_ToD","OA","Night",1,"hat1_tr.png",251,251,NA,NA,3.823099999,141,-0.123915828,0.18371277,"Bckg133.jpg",235,68,38,1,1,1,3,235,251,330,13,235,"hat1_tr.png",1,326,326,10.0529,1,3.7707,2,3.8844,NA
"Sub002_ToD","OA","Night",1,"jellybeans1_tr.png",347,347,NA,NA,3.636599999,141,0.21075188,-0.068477437,"Bckg46.jpg",235,49,18,1,1,1,14,235,347,110,157,235,"jellybeans1_tr.png",1,108,108,6.5763,1,3.837599999,2,2.8801,NA
"Sub002_ToD","OA","Night",1,"lemon1_tr.png",265,265,NA,NA,2.604,141,NA,NA,"Bckg99.jpg",20,66,103,3,1,1,108,20,265,285,180,20,"lemon1_tr.png",1,285,285,3.9928,1,2.784400001,2,2.7618,NA
"Sub002_ToD","OA","Night",1,"lipstick1_tr.png",284,284,NA,NA,3.847,141,NA,NA,"Bckg22.jpg",106,22,23,1,1,1,26,106,284,129,228,106,"lipstick1_tr.png",1,129,129,6.2585,1,3.7449,1,2.7627,NA
"Sub002_ToD","OA","Night",1,"loaf1_tr.png",357,357,NA,NA,2.4526,141,NA,NA,"Bckg90.jpg",101,25,90,3,1,1,110,101,357,138,325,101,"loaf1_tr.png",1,138,138,3.7528,1,4.8209,2,2.624799999,NA
"Sub002_ToD","OA","Night",1,"mouthwash1_tr.png",115,115,NA,NA,3.7145,141,NA,NA,"Bckg109.jpg",352,100,98,3,1,1,103,352,115,250,226,352,"mouthwash1_tr.png",1,250,250,2.1005,1,2.9585,2,2.366400001,NA
"Sub002_ToD","OA","Night",1,"pan1_tr.png",89,89,NA,NA,5.234400001,141,NA,NA,"Bckg58.jpg",133,116,89,3,1,1,85,133,89,30,229,133,"pan1_tr.png",1,30,30,2.7868,1,2.636400001,2,1.495400001,NA
"Sub002_ToD","OA","Night",1,"penguin1_tr.png",333,333,NA,NA,3.9158,141,NA,NA,"Bckg114.jpg",71,7,81,3,1,1,91,71,333,350,66,71,"penguin1_tr.png",1,350,350,3.091400001,1,2.9199,1,1.1839,NA
